meal_id,meal_name,description,ingredients,equipment_needed,time_minutes,estimated_cost_usd,calories,protein_g,fiber_g,sodium_mg,sat_fat_g,added_sugar_g,diet_tags,protein_category,dairy_heavy,plant_forward_level,nutrition_score,sustainability_score,notes
DORM-001,Chickpea Pasta Bowl,Protein pasta with chickpeas spinach and marinara,protein pasta;chickpeas;spinach;marinara;olive oil,microwave;stovetop,15,3.75,490,24,12,520,2,5,vegan;plantbased,legume_based,no,high,92,96,Strong low-impact dorm dinner
DORM-002,Rice Beans and Frozen Veggies,Brown rice black beans frozen vegetables and salsa,brown rice;black beans;mixed vegetables;salsa,microwave,10,2.9,430,16,13,410,1,3,vegan;plantbased,legume_based,no,high,90,98,Easy pantry meal for beginners
DORM-003,Oatmeal with Banana and Peanut Butter,Oats with banana peanut butter and cinnamon,oats;banana;peanut butter;cinnamon,microwave,5,1.85,360,12,8,140,2,4,vegetarian;plantbased,vegetarian,no,high,82,90,Simple breakfast
DORM-004,Tofu Stir Fry Rice Bowl,Tofu frozen stir fry vegetables and rice,tofu;frozen stir fry vegetables;rice;soy sauce;garlic,stovetop;microwave,15,3.6,440,21,7,620,1,3,vegan;plantbased,legume_based,no,high,85,95,High protein plant-based option
DORM-005,Hummus Veggie Wrap,Hummus wrap with spinach cucumbers carrots and peppers,whole wheat wrap;hummus;spinach;cucumber;carrot;pepper,no_cook,8,2.65,350,10,9,430,1,3,vegan;plantbased,vegetarian,no,high,84,88,Very easy no-cook lunch
DORM-006,Greek Yogurt Fruit Bowl,Greek yogurt with berries granola and chia seeds,greek yogurt;berries;granola;chia,no_cook,5,3.1,320,18,6,120,2,6,vegetarian,vegetarian,no,medium,79,74,Healthier but dairy lowers sustainability
DORM-007,Microwave Egg Veggie Scramble,Eggs with spinach peppers and cheese,eggs;spinach;peppers;cheese,microwave,7,2.4,290,19,3,360,4,2,vegetarian,egg,no,medium,78,58,Good small-change breakfast for omnivores
DORM-008,Turkey Sandwich and Apple,Turkey sandwich on whole grain bread with mustard and apple,whole grain bread;turkey;mustard;lettuce;apple,no_cook,6,3.25,410,22,6,690,2,4,,turkey,no,medium,77,60,Moderate-impact convenient option
DORM-009,Lentil Soup and Toast,Canned lentil soup with whole grain toast,lentil soup;whole grain bread,microwave;toaster,8,2.55,330,15,10,650,1,4,vegan;plantbased,legume_based,no,high,86,97,Cheap and sustainable
DORM-010,Quesadilla with Beans and Salsa,Tortilla with cheese black beans and salsa,tortilla;cheese;black beans;salsa,stovetop;microwave,10,2.95,420,18,9,710,5,3,vegetarian,dairy_heavy,medium,74,54,Dairy reduces sustainability score
DORM-011,Tuna Rice Bowl,Tuna packet rice cucumbers and edamame,tuna;rice;cucumber;edamame;soy sauce,no_cook;microwave,7,3.8,390,24,5,540,1,2,,fish,no,medium,83,61,Useful pescatarian option
DORM-012,Peanut Noodle Bowl,Noodles with peanut sauce edamame and shredded carrots,noodles;peanut butter;soy sauce;edamame;carrots,microwave;stovetop,12,2.85,470,18,7,590,2,4,vegan;plantbased,legume_based,no,high,81,91,High satiety plant-based meal
