meal_id,menu_date,location,station,meal_name,description,calories,protein_g,fiber_g,sodium_mg,sat_fat_g,added_sugar_g,diet_tags,allergen_tags,protein_category,dairy_heavy,plant_forward_level,fried,highly_processed,whole_grain,nutrition_score,sustainability_score,confidence_level,notes
RATH-001,2026-04-22,Rathbone,Globowl,Chicken Rice Bowl,Grilled chicken with rice and vegetables,620,34,6,780,4,4,mindful;halal,soy,chicken,no,medium,no,no,no,75,60,medium,Replace with live Sodexo item data
RATH-002,2026-04-22,Rathbone,Globowl,Tofu Stir Fry Bowl,Tofu with mixed vegetables and brown rice,540,24,9,640,2,5,plantbased;vegan;mindful,soy,legume_based,no,high,no,no,yes,90,95,medium,Replace with live Sodexo item data
RATH-003,2026-04-22,Rathbone,Grill,Beef Cheeseburger,Beef burger with cheese on bun,840,32,2,1120,11,7,,milk;wheat,beef,yes,low,no,medium,no,30,8,medium,Replace with live Sodexo item data
RATH-004,2026-04-22,Rathbone,Simple Servings,Herb Roasted Chicken,Chicken breast with roasted potatoes and vegetables,510,37,5,520,3,2,gluten_free,,chicken,no,medium,no,no,no,83,60,medium,Replace with live Sodexo item data
RATH-005,2026-04-22,Rathbone,Pasta,Mac and Cheese,Baked pasta with cheddar cheese sauce,700,21,3,980,9,4,vegetarian,milk;wheat,dairy_heavy,yes,low,no,medium,no,43,30,medium,Replace with live Sodexo item data
RATH-006,2026-04-22,Rathbone,Salad Bar,Chickpea Grain Bowl,Chickpeas quinoa greens cucumbers tomatoes vinaigrette,480,18,11,430,1,3,vegan;plantbased,none,legume_based,no,high,no,no,yes,93,98,high,Template for a strong dorm-style low-impact meal
RATH-007,2026-04-22,Rathbone,Grill,Black Bean Burger,Black bean patty on whole grain bun with lettuce and tomato,560,19,10,710,2,6,vegetarian;plantbased,wheat;soy,legume_based,no,high,no,medium,yes,84,91,medium,Replace with live Sodexo item data
RATH-008,2026-04-22,Rathbone,Entree,Pork Carnitas Bowl,Pork with rice beans salsa and lettuce,690,30,7,860,5,4,,none,pork,no,medium,no,low,no,67,45,medium,Replace with live Sodexo item data
RATH-009,2026-04-22,Rathbone,Entree,Cheese Pizza Slice,Cheese pizza with tomato sauce,430,15,2,760,6,3,vegetarian,milk;wheat,dairy_heavy,yes,low,no,medium,no,49,30,medium,Replace with live Sodexo item data
RATH-010,2026-04-22,Rathbone,Breakfast,Vegetable Scramble,Egg scramble with peppers onions spinach and potatoes,390,20,4,540,3,2,vegetarian,egg,egg,no,medium,no,low,no,75,57,medium,Replace with live Sodexo item data
RATH-011,2026-04-22,Rathbone,Breakfast,Oatmeal with Fruit,Oats with bananas berries and cinnamon,310,9,8,120,1,2,vegan;plantbased,none,vegan,no,high,no,no,yes,80,96,high,Template for a strong breakfast option
RATH-012,2026-04-22,Rathbone,Deli,Turkey Sandwich,Turkey whole grain sandwich with lettuce tomato mustard,520,28,6,890,3,4,,wheat;egg,turkey,no,medium,no,medium,yes,75,61,medium,Replace with live Sodexo item data
RATH-013,2026-04-22,Rathbone,Deli,Hummus Veggie Wrap,Hummus spinach peppers cucumbers in wrap,450,12,8,600,1,3,vegan;plantbased,wheat,vegetarian,no,high,no,low,no,83,78,medium,Replace with live Sodexo item data
RATH-014,2026-04-22,Rathbone,Entree,Chicken Alfredo Pasta,Pasta with chicken and creamy Alfredo sauce,820,36,3,1040,10,5,,milk;wheat,chicken,yes,low,no,medium,no,40,42,medium,Replace with live Sodexo item data
RATH-015,2026-04-22,Rathbone,Entree,Lentil Soup and Side Salad,Lentil soup with mixed greens and vinaigrette,360,16,12,580,1,3,vegan;plantbased,none,legume_based,no,high,no,no,no,88,98,high,Template for low-impact recommendation testing
